ticket_id,created_at,closed_at,category,subcategory,channel,priority,status,team,agent,region,customer_type,customer_age,attempts,has_attachment,sentiment,resolution_minutes,sla_minutes,sla_breached,satisfaction_score,text_length,cost_eur
T-0013,2026-01-21 14:42:00,,Antrag,Unterlagen,App,medium,in_progress,Fachteam A,Jonas,Mitte,Privat,68,1,True,neutral,227,480,False,,685,79.98
T-0014,2026-01-26 09:34:00,,Technik,Upload,App,high,in_progress,Platform,Hassan,Mitte,Partner,38,4,False,negativ,146,240,False,,581,69.39
T-0015,2026-01-28 16:09:00,2026-01-28 21:44:00,Antrag,Neuantrag,E-Mail,medium,closed,Fachteam A,Carla,West,Privat,80,3,True,neutral,335,480,False,5,674,107.31
T-0016,2026-05-22 14:35:00,,Abrechnung,Gutschrift,Web,low,in_progress,Finance,Eva,Süd,Organisation,36,2,False,neutral,194,720,False,,67,91.55
T-0017,2026-08-15 14:39:00,2026-08-15 16:53:00,Technik,Fehlermeldung,Web,high,closed,Platform,Ben,West,Organisation,70,1,True,neutral,134,240,False,,365,79.68
T-0018,2026-01-28 14:55:00,2026-01-28 16:19:00,Termin,Ort,Telefon,high,closed,Service Desk,Eva,Süd,Organisation,47,2,False,neutral,84,240,False,4,310,38.59
T-0019,2026-03-08 10:37:00,2026-03-08 11:34:00,Allgemein,Zuständigkeit,E-Mail,medium,closed,Service Desk,Aylin,Nord,Organisation,32,1,False,neutral,57,480,False,4,750,22.91
T-0020,2026-02-01 12:32:00,2026-02-01 14:33:00,Abrechnung,Zahlung,Web,medium,closed,Service Desk,Jonas,West,Privat,66,3,True,positiv,121,480,False,5,333,66.09
T-0021,2026-04-24 11:32:00,,Technik,Fehlermeldung,Web,low,open,Backend,Jonas,West,Privat,60,3,True,positiv,91,720,False,,794,30.7
T-0022,2026-06-06 09:29:00,2026-06-06 11:57:00,Technik,Upload,Web,low,closed,Platform,Aylin,Süd,Partner,18,3,False,neutral,148,720,False,5,460,96.82
T-0023,2026-06-20 16:35:00,,Technik,Verbindung,Web,low,in_progress,Platform,Hassan,Süd,Organisation,75,1,False,neutral,97,720,False,,786,63.91
T-0024,2026-03-12 15:04:00,2026-03-12 15:57:00,Allgemein,Information,Web,low,closed,Service Desk,Ina,Ost,Privat,67,1,False,positiv,53,720,False,5,442,17.26
T-0025,2026-01-06 17:24:00,2026-01-06 17:54:00,Technik,Verbindung,Web,medium,closed,Service Desk,Greta,Mitte,Partner,46,3,True,negativ,30,480,False,3,423,14.83
T-0026,2026-04-11 17:36:00,2026-04-11 20:22:00,Technik,Verbindung,Telefon,medium,closed,Platform,Jonas,Mitte,Privat,59,2,False,positiv,166,480,False,4,413,100.35
T-0027,2026-03-31 11:41:00,2026-03-31 17:49:00,Technik,Verbindung,Web,low,closed,Platform,Ina,Nord,Partner,37,4,True,positiv,368,720,False,4,248,127.24
T-0028,2026-01-07 12:36:00,2026-01-07 14:01:00,Abrechnung,Gutschrift,Web,medium,closed,Finance,Carla,West,Privat,49,1,False,positiv,85,480,False,,725,51.76
T-0029,2026-04-05 09:32:00,2026-04-05 13:49:00,Antrag,Neuantrag,E-Mail,high,closed,Fachteam A,Farid,Mitte,Privat,76,2,False,neutral,257,240,True,2,691,152.53
T-0030,2026-08-01 09:17:00,2026-08-01 12:51:00,Technik,Verbindung,Telefon,medium,closed,Backend,Eva,West,Organisation,,2,False,neutral,214,480,False,3,289,82.36
T-0031,2026-05-06 16:48:00,2026-05-06 19:52:00,Technik,Upload,E-Mail,medium,closed,Platform,Ben,Süd,Organisation,69,4,True,positiv,184,480,False,4,509,98.0
T-0032,2026-03-06 11:07:00,2026-03-06 16:47:00,Antrag,Nachreichung,Telefon,medium,closed,Fachteam B,Farid,Ost,Privat,79,1,False,neutral,340,480,False,4,636,205.39
T-0033,2026-05-17 10:17:00,2026-05-17 12:52:00,Technik,Fehlermeldung,Web,high,closed,Service Desk,Carla,West,Privat,31,3,False,neutral,155,240,False,4,476,75.6
T-0034,2026-05-28 08:09:00,2026-05-28 12:41:00,Technik,Fehlermeldung,Telefon,low,closed,Platform,Ben,Ost,Privat,46,4,False,positiv,272,720,False,4,329,180.45
T-0035,2026-01-21 10:15:00,2026-01-21 11:14:00,Allgemein,Information,E-Mail,low,closed,Service Desk,Deniz,Süd,Privat,47,2,False,neutral,59,720,False,3,97,37.99
T-0036,2026-06-15 10:58:00,2026-06-15 15:21:00,Antrag,Nachreichung,E-Mail,high,closed,Fachteam A,Greta,Nord,Privat,54,2,False,negativ,263,240,True,2,437,110.89
T-0037,2026-01-24 11:43:00,,Allgemein,Information,E-Mail,medium,waiting,Service Desk,Farid,Mitte,Privat,23,1,False,neutral,55,480,False,,204,33.29
T-0038,2026-04-15 13:20:00,2026-04-15 14:18:00,Abrechnung,Bankdaten,Web,high,closed,Service Desk,Hassan,Nord,Privat,22,1,False,neutral,58,240,False,4,438,24.9
T-0039,2026-06-09 15:40:00,2026-06-09 16:20:00,Allgemein,Öffnungszeiten,E-Mail,medium,closed,Service Desk,Aylin,Süd,Privat,80,2,True,neutral,40,480,False,5,270,21.74
T-0040,2026-01-31 10:31:00,2026-01-31 18:06:00,Antrag,Nachreichung,E-Mail,medium,closed,Fachteam A,Deniz,Nord,Privat,76,1,True,neutral,455,480,False,4,545,304.28
T-0041,2026-01-01 12:46:00,,Termin,Verschiebung,Web,high,waiting,Fachteam A,Farid,Mitte,Privat,62,3,False,positiv,45,240,False,,581,19.48
T-0042,2026-07-18 14:02:00,,Technik,Upload,App,high,in_progress,Platform,Jonas,Ost,Privat,37,4,True,negativ,105,240,False,,62,52.3
T-0043,2026-01-04 10:26:00,2026-01-04 12:30:00,Zugang,Konto gesperrt,Telefon,high,closed,Service Desk,Ben,Mitte,Partner,68,1,False,positiv,124,240,False,5,571,79.48
T-0044,2026-03-02 12:14:00,2026-03-02 15:12:00,Technik,Upload,App,medium,closed,Service Desk,Ina,Nord,Privat,56,1,False,negativ,178,480,False,2,325,110.09
T-0045,2026-06-06 14:39:00,2026-06-06 17:53:00,Technik,Verbindung,E-Mail,low,closed,Backend,Carla,Süd,Privat,19,1,True,neutral,194,720,False,4,584,80.52
T-0046,2026-03-19 11:24:00,2026-03-19 12:40:00,Zugang,Benutzername,App,high,closed,Service Desk,Greta,West,Privat,20,1,False,neutral,76,240,False,4,604,31.14
T-0047,2026-02-26 11:39:00,2026-02-26 12:12:00,Allgemein,Öffnungszeiten,Telefon,high,closed,Service Desk,Deniz,Mitte,Organisation,23,4,False,positiv,33,240,False,4,774,17.55
T-0048,2026-04-04 16:32:00,2026-04-04 18:52:00,Zugang,Konto gesperrt,E-Mail,medium,closed,Identity,Carla,Mitte,Organisation,61,1,False,neutral,140,480,False,4,797,46.22
T-0049,2026-05-18 09:29:00,2026-05-18 09:39:00,Allgemein,Information,Telefon,critical,closed,Service Desk,Ben,Ost,Privat,47,3,False,neutral,10,120,False,4,360,6.77
T-0050,2026-01-12 08:19:00,2026-01-12 09:11:00,Allgemein,Kontakt,E-Mail,medium,closed,Service Desk,Eva,Ost,Privat,71,2,False,neutral,52,480,False,5,695,34.02
T-0051,2026-04-24 11:54:00,2026-04-24 12:26:00,Zugang,Benutzername,App,medium,closed,Service Desk,Aylin,West,Privat,,4,False,neutral,32,480,False,5,490,21.75
T-0052,2026-02-02 17:13:00,2026-02-02 19:31:00,Zugang,2FA,E-Mail,medium,closed,Identity,Aylin,West,Privat,36,3,False,negativ,138,480,False,4,173,56.71
T-0053,2026-07-21 11:37:00,2026-07-21 12:06:00,Allgemein,Zuständigkeit,Web,high,closed,Service Desk,Carla,Nord,Privat,78,2,False,neutral,29,240,False,4,487,15.59
T-0054,2026-05-03 14:27:00,,Abrechnung,Rechnung,App,medium,in_progress,Service Desk,Hassan,Nord,Privat,26,1,True,positiv,117,480,False,,664,41.01
T-0055,2026-01-26 09:54:00,2026-01-26 13:28:00,Antrag,Nachreichung,E-Mail,medium,closed,Fachteam B,Hassan,Mitte,Privat,70,1,False,neutral,214,480,False,4,122,99.81
T-0056,2026-01-22 09:27:00,,Technik,Upload,Web,medium,open,Platform,Hassan,Nord,Privat,60,4,False,neutral,264,480,False,,445,149.95
T-0057,2026-05-28 16:13:00,,Technik,Verbindung,Telefon,high,open,Service Desk,Jonas,West,Privat,53,4,True,neutral,175,240,False,,464,92.69
T-0058,2026-07-15 12:58:00,,Allgemein,Öffnungszeiten,E-Mail,medium,in_progress,Service Desk,Aylin,Süd,Privat,21,2,False,neutral,44,480,False,,568,14.81
T-0059,2026-08-15 08:09:00,2026-08-15 11:57:00,Technik,Verbindung,Web,medium,closed,Service Desk,Farid,Mitte,Privat,74,4,True,neutral,228,480,False,3,378,115.13
T-0060,2026-06-03 08:00:00,2026-06-03 10:53:00,Abrechnung,Gutschrift,E-Mail,medium,closed,Service Desk,Aylin,Süd,Privat,81,4,False,neutral,173,480,False,3,745,78.21
T-0061,2026-01-20 13:36:00,2026-01-20 16:23:00,Technik,Upload,Telefon,low,closed,Platform,Greta,Nord,Privat,39,3,True,neutral,167,720,False,4,395,105.68
T-0062,2026-02-26 13:49:00,2026-02-26 16:00:00,Zugang,Passwort,E-Mail,low,closed,Identity,Greta,West,Organisation,36,3,False,negativ,131,720,False,3,641,49.64
T-0063,2026-04-25 17:41:00,,Zugang,Passwort,Telefon,low,in_progress,Service Desk,Hassan,Mitte,Organisation,,1,False,positiv,83,720,False,,335,39.58
T-0064,2026-08-01 12:04:00,2026-08-01 12:34:00,Termin,Vereinbarung,Web,medium,closed,Fachteam A,Hassan,Nord,Privat,23,1,False,neutral,30,480,False,5,354,16.82
T-0065,2026-01-11 11:45:00,2026-01-11 12:39:00,Antrag,Unterlagen,E-Mail,critical,closed,Fachteam B,Ben,Mitte,Privat,70,2,True,neutral,54,120,False,4,671,17.33
T-0066,2026-06-18 17:55:00,2026-06-19 00:25:00,Antrag,Neuantrag,E-Mail,medium,closed,Fachteam B,Eva,West,Organisation,68,2,False,neutral,390,480,False,5,597,130.22
T-0067,2026-04-19 16:23:00,,Technik,Upload,Telefon,high,waiting,Backend,Ina,Nord,Privat,35,3,True,neutral,188,240,False,,327,68.05
T-0068,2026-04-07 10:10:00,2026-04-07 11:05:00,Allgemein,Öffnungszeiten,E-Mail,medium,closed,Service Desk,Farid,Mitte,Privat,,3,False,neutral,55,480,False,5,650,37.83
T-0069,2026-05-27 15:29:00,2026-05-27 19:27:00,Technik,Verbindung,Web,low,closed,Service Desk,Deniz,West,Privat,35,1,True,positiv,238,720,False,2,405,117.15
T-0070,2026-03-11 15:57:00,2026-03-11 18:00:00,Antrag,Neuantrag,E-Mail,medium,closed,Fachteam A,Eva,Nord,Organisation,21,2,False,neutral,123,480,False,4,420,55.3
T-0071,2026-03-15 15:44:00,2026-03-15 16:53:00,Allgemein,Zuständigkeit,Web,low,closed,Service Desk,Farid,Süd,Privat,,1,False,negativ,69,720,False,3,648,46.65
T-0072,2026-07-23 17:29:00,2026-07-23 20:40:00,Abrechnung,Rechnung,Web,high,closed,Finance,Aylin,Süd,Privat,36,3,False,neutral,191,240,False,1,609,84.26
T-0073,2026-05-10 16:01:00,2026-05-10 18:06:00,Technik,Fehlermeldung,Web,medium,closed,Backend,Ina,Mitte,Organisation,,3,False,positiv,125,480,False,4,668,74.15
T-0074,2026-05-03 10:51:00,,Zugang,Konto gesperrt,Web,low,in_progress,Service Desk,Carla,Ost,Partner,23,3,True,positiv,145,720,False,,342,61.8
T-0075,2026-01-13 13:17:00,,Abrechnung,Bankdaten,Telefon,low,in_progress,Finance,Eva,West,Organisation,41,3,False,negativ,208,720,False,,534,103.68
T-0076,2026-02-16 16:18:00,2026-02-16 18:21:00,Technik,Upload,Telefon,high,closed,Platform,Greta,Mitte,Partner,74,3,True,neutral,123,240,False,2,386,79.71
T-0077,2026-07-25 10:01:00,,Antrag,Status,App,low,open,Fachteam A,Ben,Ost,Privat,64,3,True,positiv,557,720,False,,605,247.79
T-0078,2026-05-16 13:25:00,,Zugang,2FA,App,medium,waiting,Service Desk,Hassan,Nord,Privat,33,3,True,positiv,79,480,False,,291,31.97
T-0079,2026-01-19 15:11:00,2026-01-19 20:00:00,Antrag,Unterlagen,Web,critical,closed,Fachteam B,Deniz,Nord,Privat,62,1,False,negativ,289,120,True,2,332,120.27
T-0080,2026-05-07 08:23:00,,Allgemein,Kontakt,E-Mail,high,open,Service Desk,Deniz,Süd,Privat,57,1,False,neutral,19,240,False,,759,8.73
T-0081,2026-04-26 15:43:00,,Antrag,Status,Telefon,medium,open,Fachteam A,Carla,West,Privat,34,2,False,neutral,294,480,False,,81,139.08
T-0082,2026-08-05 09:16:00,2026-08-05 11:11:00,Termin,Verschiebung,Web,low,closed,Service Desk,Farid,Mitte,Organisation,39,5,False,neutral,115,720,False,4,664,42.38
T-0083,2026-07-17 17:16:00,2026-07-17 19:40:00,Antrag,Nachreichung,E-Mail,high,closed,Fachteam A,Ben,Nord,Partner,55,1,False,neutral,144,240,False,4,726,57.3
T-0084,2026-03-29 17:09:00,2026-03-29 20:15:00,Technik,Verbindung,Web,low,closed,Service Desk,Greta,Ost,Privat,65,4,False,negativ,186,720,False,2,150,73.79
T-0085,2026-08-10 10:52:00,2026-08-10 13:58:00,Technik,Performance,Web,low,closed,Service Desk,Jonas,Ost,Privat,81,4,False,neutral,186,720,False,4,427,62.5
T-0086,2026-08-04 15:18:00,2026-08-04 16:40:00,Abrechnung,Zahlung,Web,low,closed,Finance,Eva,Ost,Privat,64,1,False,neutral,82,720,False,,600,26.28
T-0087,2026-01-31 10:06:00,2026-01-31 12:22:00,Technik,Upload,E-Mail,low,closed,Backend,Eva,Mitte,Privat,69,4,False,neutral,136,720,False,2,366,48.25
T-0088,2026-04-11 17:47:00,2026-04-11 19:40:00,Termin,Ort,App,low,closed,Service Desk,Farid,Mitte,Privat,78,1,False,neutral,113,720,False,4,451,64.36
T-0089,2026-05-15 17:49:00,2026-05-16 00:27:00,Antrag,Neuantrag,Web,medium,closed,Fachteam A,Aylin,Mitte,Privat,20,1,True,negativ,398,480,False,4,233,185.14
T-0090,2026-03-25 15:33:00,2026-03-25 15:55:00,Technik,Verbindung,Telefon,high,closed,Platform,Carla,Mitte,Privat,51,5,False,neutral,22,240,False,3,596,8.77
T-0091,2026-05-24 12:18:00,2026-05-24 15:41:00,Technik,Upload,Telefon,high,closed,Backend,Hassan,West,Privat,36,4,False,neutral,203,240,False,3,379,118.89
T-0092,2026-06-07 17:15:00,2026-06-07 18:01:00,Allgemein,Zuständigkeit,Web,medium,closed,Service Desk,Ina,West,Privat,78,3,False,positiv,46,480,False,,30,27.98
T-0093,2026-03-15 13:18:00,2026-03-15 13:42:00,Allgemein,Kontakt,App,medium,closed,Service Desk,Hassan,Süd,Organisation,22,1,False,neutral,24,480,False,3,205,15.67
T-0094,2026-01-03 12:36:00,2026-01-03 12:46:00,Allgemein,Öffnungszeiten,E-Mail,critical,closed,Service Desk,Carla,West,Organisation,35,1,False,neutral,10,120,False,4,140,3.77
T-0095,2026-07-13 11:11:00,2026-07-13 13:02:00,Technik,Verbindung,Telefon,medium,closed,Platform,Farid,West,Privat,30,2,True,neutral,111,480,False,3,279,47.67
T-0096,2026-01-03 12:41:00,2026-01-03 14:18:00,Zugang,Benutzername,Telefon,low,closed,Service Desk,Eva,Mitte,Organisation,57,2,False,positiv,97,720,False,4,401,65.6
T-0097,2026-05-21 15:48:00,2026-05-21 15:58:00,Antrag,Unterlagen,E-Mail,critical,closed,Fachteam B,Jonas,West,Privat,28,1,True,neutral,10,120,False,4,602,4.45
T-0098,2026-02-22 17:31:00,,Zugang,2FA,Web,medium,open,Service Desk,Ina,Ost,Privat,25,2,False,neutral,121,480,False,,713,63.35
T-0099,2026-03-30 09:34:00,2026-03-30 11:50:00,Termin,Vereinbarung,Telefon,medium,closed,Service Desk,Jonas,Nord,Privat,35,2,False,positiv,136,480,False,5,455,75.94
T-0100,2026-06-19 16:08:00,2026-06-19 18:34:00,Technik,Verbindung,App,medium,closed,Service Desk,Greta,Nord,Privat,46,2,False,neutral,146,480,False,5,499,100.94
T-0101,2026-02-18 09:02:00,2026-02-18 15:49:00,Antrag,Status,Telefon,medium,closed,Fachteam A,Hassan,West,Privat,30,1,False,positiv,407,480,False,4,74,231.51
T-0102,2026-03-16 11:52:00,2026-03-16 16:03:00,Technik,Fehlermeldung,Web,medium,closed,Platform,Aylin,Süd,Privat,36,2,False,neutral,251,480,False,4,306,116.82
T-0103,2026-06-21 14:50:00,2026-06-21 15:31:00,Zugang,2FA,E-Mail,medium,closed,Service Desk,Aylin,West,Partner,48,1,False,positiv,41,480,False,4,499,23.9
T-0104,2026-03-26 09:59:00,2026-03-26 10:09:00,Allgemein,Information,E-Mail,critical,closed,Service Desk,Greta,Süd,Privat,23,2,False,positiv,10,120,False,3,766,6.05
T-0105,2026-02-18 09:47:00,2026-02-18 18:10:00,Antrag,Unterlagen,Telefon,medium,closed,Fachteam B,Eva,Nord,Privat,59,2,False,neutral,503,480,True,2,392,258.27
T-0106,2026-04-05 13:26:00,2026-04-05 18:26:00,Technik,Upload,E-Mail,medium,closed,Platform,Hassan,West,Partner,71,3,True,neutral,300,480,False,3,608,117.6
T-0107,2026-06-14 15:29:00,2026-06-14 17:06:00,Termin,Ort,App,medium,closed,Fachteam A,Eva,Ost,Partner,25,4,False,neutral,97,480,False,5,709,31.98
T-0108,2026-05-10 15:23:00,,Zugang,Passwort,Telefon,medium,in_progress,Identity,Ben,Süd,Privat,,2,False,neutral,131,480,False,,446,67.19
T-0109,2026-05-15 10:15:00,,Zugang,Konto gesperrt,Web,medium,open,Service Desk,Carla,Nord,Partner,69,3,False,neutral,103,480,False,,274,49.81
T-0110,2026-04-07 16:30:00,2026-04-07 17:28:00,Allgemein,Kontakt,Telefon,low,closed,Service Desk,Aylin,Nord,Privat,30,2,False,neutral,58,720,False,5,733,22.73
T-0111,2026-02-15 13:01:00,2026-02-15 14:17:00,Allgemein,Information,App,low,closed,Service Desk,Ina,Mitte,Privat,,1,False,neutral,76,720,False,3,423,48.17
T-0112,2026-04-22 11:53:00,2026-04-22 20:25:00,Antrag,Nachreichung,Telefon,medium,closed,Fachteam A,Ina,West,Privat,52,2,False,negativ,512,480,True,2,591,200.32
T-0113,2026-03-05 09:05:00,,Allgemein,Information,E-Mail,low,open,Service Desk,Ben,Mitte,Privat,29,3,True,neutral,54,720,False,,340,16.31
T-0114,2026-04-15 09:01:00,2026-04-15 12:48:00,Abrechnung,Gutschrift,Web,low,closed,Service Desk,Hassan,Mitte,Privat,,3,False,negativ,227,720,False,5,597,133.92
T-0115,2026-03-10 15:09:00,2026-03-10 16:09:00,Allgemein,Kontakt,Web,medium,closed,Service Desk,Carla,Süd,Privat,49,2,False,positiv,60,480,False,4,493,32.8
T-0116,2026-07-28 17:08:00,2026-07-28 18:47:00,Zugang,Konto gesperrt,E-Mail,low,closed,Service Desk,Farid,Ost,Privat,58,3,False,positiv,99,720,False,5,614,49.14
T-0117,2026-02-21 17:34:00,2026-02-21 19:08:00,Termin,Absage,Telefon,medium,closed,Fachteam A,Farid,Nord,Partner,55,4,False,negativ,94,480,False,2,443,60.08
T-0118,2026-06-03 15:37:00,,Antrag,Unterlagen,Web,medium,in_progress,Fachteam A,Greta,Ost,Privat,64,3,False,neutral,238,480,False,,574,138.2
T-0119,2026-06-15 14:48:00,2026-06-15 20:27:00,Antrag,Neuantrag,Web,low,closed,Fachteam B,Carla,Mitte,Privat,46,4,True,positiv,339,720,False,4,627,206.43
T-0120,2026-01-22 09:53:00,2026-01-22 16:57:00,Antrag,Unterlagen,Web,medium,closed,Fachteam A,Eva,Ost,Partner,78,1,True,positiv,424,480,False,,488,249.65
T-0121,2026-02-12 11:33:00,2026-02-12 15:35:00,Technik,Upload,Telefon,low,closed,Platform,Farid,Nord,Privat,41,3,False,positiv,242,720,False,4,780,110.89
T-0122,2026-06-30 09:36:00,2026-06-30 19:01:00,Antrag,Unterlagen,E-Mail,medium,closed,Fachteam A,Deniz,Süd,Privat,80,3,True,negativ,565,480,True,3,650,304.42
T-0123,2026-06-01 09:43:00,2026-06-01 13:04:00,Technik,Fehlermeldung,Telefon,medium,closed,Backend,Carla,West,Partner,71,3,True,neutral,201,480,False,4,523,94.31
T-0124,2026-06-08 08:55:00,2026-06-08 14:43:00,Antrag,Unterlagen,E-Mail,medium,closed,Fachteam A,Carla,West,Organisation,81,2,False,negativ,348,480,False,4,479,203.25
T-0125,2026-05-18 12:10:00,2026-05-18 14:42:00,Abrechnung,Rechnung,Telefon,medium,closed,Finance,Eva,Nord,Privat,52,1,False,neutral,152,480,False,5,799,67.91
T-0126,2026-01-09 15:16:00,2026-01-09 16:12:00,Zugang,Benutzername,App,medium,closed,Identity,Deniz,West,Organisation,62,3,False,neutral,56,480,False,4,655,26.39
T-0127,2026-02-13 13:45:00,,Zugang,2FA,Telefon,high,waiting,Service Desk,Ina,West,Privat,35,3,False,negativ,56,240,False,,446,38.37
T-0128,2026-08-01 11:48:00,2026-08-01 12:30:00,Allgemein,Zuständigkeit,Web,high,closed,Service Desk,Deniz,Süd,Privat,27,1,False,neutral,42,240,False,5,552,14.16
T-0129,2026-06-28 13:54:00,2026-06-28 15:38:00,Termin,Absage,E-Mail,medium,closed,Service Desk,Ben,Ost,Privat,54,2,False,positiv,104,480,False,4,521,54.75
T-0130,2026-02-10 15:29:00,2026-02-10 18:08:00,Termin,Vereinbarung,E-Mail,low,closed,Fachteam A,Aylin,Nord,Partner,38,2,False,positiv,159,720,False,5,394,53.64
T-0131,2026-07-13 11:27:00,2026-07-13 13:32:00,Technik,Upload,E-Mail,medium,closed,Platform,Greta,West,Organisation,74,1,False,positiv,125,480,False,,148,72.28
T-0132,2026-01-27 09:20:00,2026-01-27 09:56:00,Allgemein,Information,E-Mail,medium,closed,Service Desk,Greta,Nord,Organisation,36,2,False,negativ,36,480,False,,649,18.91
T-0133,2026-08-09 11:05:00,2026-08-09 18:00:00,Antrag,Status,Web,medium,closed,Fachteam A,Greta,Mitte,Privat,35,1,False,neutral,415,480,False,4,640,165.7
T-0134,2026-02-18 14:18:00,,Antrag,Nachreichung,Telefon,high,open,Fachteam B,Deniz,Mitte,Privat,27,1,True,neutral,136,240,False,,37,69.54
T-0135,2026-07-15 15:49:00,2026-07-15 17:04:00,Allgemein,Zuständigkeit,Telefon,low,closed,Service Desk,Farid,Mitte,Privat,68,2,False,negativ,75,720,False,4,450,37.53
T-0136,2026-05-11 11:51:00,2026-05-11 15:10:00,Abrechnung,Bankdaten,E-Mail,low,closed,Finance,Eva,Nord,Privat,57,3,False,neutral,199,720,False,5,84,127.08
T-0137,2026-07-01 10:44:00,2026-07-01 15:42:00,Technik,Verbindung,E-Mail,low,closed,Platform,Eva,Süd,Privat,65,3,False,neutral,298,720,False,5,145,121.44
T-0138,2026-05-08 15:32:00,2026-05-08 16:27:00,Termin,Vereinbarung,E-Mail,medium,closed,Service Desk,Eva,Mitte,Privat,32,3,False,positiv,55,480,False,4,37,17.47
T-0139,2026-07-02 14:14:00,2026-07-02 16:45:00,Technik,Verbindung,App,medium,closed,Platform,Aylin,Mitte,Organisation,82,4,True,positiv,151,480,False,2,553,58.78
T-0140,2026-04-27 08:23:00,2026-04-27 09:25:00,Allgemein,Information,E-Mail,low,closed,Service Desk,Eva,West,Privat,81,3,False,neutral,62,720,False,5,584,36.77
T-0141,2026-08-03 08:21:00,,Termin,Verschiebung,App,low,open,Service Desk,Deniz,Mitte,Privat,48,2,False,positiv,132,720,False,,86,61.77
T-0142,2026-04-06 15:47:00,2026-04-06 16:38:00,Allgemein,Kontakt,Web,medium,closed,Service Desk,Ina,Ost,Privat,73,2,False,positiv,51,480,False,3,347,21.25
T-0143,2026-02-21 10:49:00,2026-02-21 11:34:00,Allgemein,Information,Telefon,medium,closed,Service Desk,Hassan,West,Privat,63,1,False,neutral,45,480,False,3,296,19.05
T-0144,2026-07-02 11:22:00,2026-07-02 12:14:00,Allgemein,Öffnungszeiten,Telefon,low,closed,Service Desk,Deniz,West,Privat,75,2,False,positiv,52,720,False,4,129,17.57
T-0145,2026-04-06 09:37:00,2026-04-06 10:20:00,Termin,Verschiebung,Web,low,closed,Service Desk,Carla,Süd,Organisation,34,1,False,positiv,43,720,False,,364,27.47
T-0146,2026-06-24 14:11:00,2026-06-24 15:21:00,Zugang,Benutzername,App,low,closed,Service Desk,Greta,Ost,Privat,49,4,False,positiv,70,720,False,4,515,45.72
T-0147,2026-07-20 13:30:00,,Zugang,Konto gesperrt,E-Mail,medium,in_progress,Identity,Ina,Nord,Partner,58,1,False,neutral,55,480,False,,55,29.64
T-0148,2026-01-26 11:42:00,,Allgemein,Zuständigkeit,App,low,open,Service Desk,Jonas,Süd,Partner,67,3,False,neutral,57,720,False,,202,25.19
T-0149,2026-05-25 11:53:00,2026-05-25 14:05:00,Zugang,Konto gesperrt,Telefon,high,closed,Identity,Farid,Mitte,Privat,47,2,False,neutral,132,240,False,1,364,64.84
T-0150,2026-05-31 10:49:00,2026-05-31 11:37:00,Allgemein,Kontakt,Web,high,closed,Service Desk,Farid,Nord,Privat,30,3,True,neutral,48,240,False,4,774,33.14
T-0151,2026-04-07 12:46:00,2026-04-07 13:27:00,Allgemein,Information,Web,medium,closed,Service Desk,Deniz,Mitte,Organisation,22,1,False,negativ,41,480,False,4,651,25.56
